Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
11,11,,,,,,,"Свв. мчч. Мини, Віктора й Вінкентія","Святих мучеників Мини, Віктора й Вінкентія",
11,11,,,,,,,Св. мц. Стефаніди,Святої мучениці Стефаніди,
11,11,,,,,,,Прп. й ісп. Теодора Студійського,Преподобного отця нашого й ісповідника Теодора Студійського,
11,12,,,r,🕁,*,&dagger;,"🕁 Св. сщмч. Йосафата, архиєп. Полоцького","🕁 Святого священномученика Йосафата, архиєпископа Полоцького",
11,12,,,,🕃,&,,"🕃 Св. Івана Милостивого, патр. Олександрійського","🕃 Святого отця нашого Івана Милостивого, патріарха Олександрійського",
11,12,,,,,,,Прп. Ніла,Преподобного отця нашого Ніла,
11,12,,,,,,,"Блаж. сщмч. Григорія Лакоти, єп.","Блаженного священномученика Григорія Лакоти, єпископа",
11,13,,,r,🕂,+,&dagger;,"🕂 Св. Івана Золотоустого, архиєп. Царгородського","🕂 Святого отця нашого Івана Золотоустого, архиєпископа Царгородського",
11,14,,,r,🕂,+,&dagger;,🕂 Св. і всехв. ап. Филипа,🕂 Святого і всехвального апостола Филипа,
11,15,,,,,,,"Свв. мчч. та ісп. Гурія, Самона й Авіва","Святих мучеників та ісповідників Гурія, Самона й Авіва",
11,15,,i,r,,,,Початок Різдвяного посту,У цей день починається Різдвяний піст,
11,16,,,r,🕂,+,&dagger;,🕂 Св. ап. і єв. Матея,🕂 Святого апостола і євангелиста Матея,
11,17,,,,,,,"Св. Григорія, єп. Неокесарійського, чудотв.","Святого отця нашого Григорія, єпископа Неокесарійського, чудотворця",
11,18,,,,,,,Свв. мчч. Платона й Романа,Святих мучеників Платона й Романа,
11,19,,,,,,,Св. прор. Авдія,Святого пророка Авдія,
11,19,,,,,,,Св. мч. Варлаама,Святого мученика Варлаама,
11,20,,,r,🕂,+,&dagger;,🕂 Прп. Йосафати Гордашевської,🕂 Преподобної матері нашої Йосафати Гордашевської,
11,20,,,,,,,Передсвяття Введення у храм Пресвятої Богородиці,Передсвяття Введення у храм Пресвятої Богородиці,
11,20,,,,,,,Прп. Григорія Декаполіта,Преподобного Григорія Декаполіта,
11,20,,,,,,,"Св. Прокла, архиєп. Царгородського","Святого отця нашого Прокла, архиєпископа Царгородського",
11,20,,,,,,,"Блаж. сщмч. Йосафата Коциловського, єп. Перемишльського","Блаженного священномученика Йосафата Коциловського, єпископа Перемишльського",
11,21,b,i,r,🕀,#,&oplus;,🕀 Введення у храм Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,🕀 Введення у храм Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,
11,22,,,,,,,"Св. ап. Филимона і тих, що з ним","Святого апостола Филимона і тих, що з ним",
