Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Лк. 67 зач.; 12, 32-40.",Лк.,67,,,Субота 28-го тижня,
"Лк. 68 зач.; 12, 42-48.",Лк.,68,,,Вівторок 25-го тижня,
"Лк. 69 зач.; 12, 48-59.",Лк.,69,,,Середа 25-го тижня,
"Лк. 70 зач.; 13, 1-9.",Лк.,70,,,Четвер 25-го тижня,
"Лк. 71 зач.; 13, 10-17.",Лк.,71,,,Неділя 27-ма,
"Лк. 72 зач.; 13, 18-29.",Лк.,72,,,Субота 29-го тижня. Це й перед Різдвом Христовим у суботу,
"Лк. 73 зач.; 13, 31-35.",Лк.,73,,,П'ятниця 25-го тижня,
"Лк. 74 зач.; 14, 1-11.",Лк.,74,,,Субота 30-го тижня,
"Лк. 75 зач.; 14, 12-15.",Лк.,75,,,Понеділок 26-го тижня,
"Лк. 76 зач.; 14, 16-24.",Лк.,76,,,Неділя 28-ма. Це і в неділю праотців,
"Лк. 77 зач.; 14, 25-35.",Лк.,77,,,Вівторок 26-го тижня,
"Лк. 78 зач.; 15, 1-10.",Лк.,78,,,Середа 26-го тижня,
"Лк. 79 зач.; 15, 11-32.",Лк.,79,,,Неділя 34-та про блудного сина,
"Лк. 80 зач.; 16, 1-9.",Лк.,80,,,Четвер 26-го тижня,
"Лк. 81 зач.; 16, 10-15.",Лк.,81,,?,Субота 31-го тижня,
"Лк. 81 зач.; 16, 10-15.<sup>⁎</sup>",Лк.,81,,?,,
"Лк. 82 зач.; 16, 15-18; 17, 1-4.",Лк.,82,,,П'ятниця 26-го тижня,
"Лк. 83 зач.; 16, 19-31.",Лк.,83,,,Неділя 22-га,
"Лк. 84 зач.; 17, 3-10.",Лк.,84,,,Субота 32-го тижня,
"Лк. 85 зач.; 17, 12-19.",Лк.,85,,,Неділя 29-та,
"Лк. 86 зач.; 17, 20-25.",Лк.,86,,,Понеділок 27-го тижня,
"Лк. 87 зач.; 17, 26-37.",Лк.,87,,,Вівторок 27-го тижня,
"Лк. 88 зач.; 18, 2-8.",Лк.,88,,,Субота 33-го тижня,
"Лк. 89 зач.; 18, 10-14.",Лк.,89,,,"Неділя 33-тя, про митаря і фарисея",
